Lead_Origin,Lead Source,Converted,Total_Visits,Total_Time_Website,Page_Views_Per_Visit,Last_Activity,Current_Occupation,Lead_Quality,Activity_Index,Profile_Index,Free_Copy
API,Olark Chat,0,0,0,0,Page Visited on Website,Unemployed,2,2,2,No
API,Organic Search,0,5,674,2.5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,2,1532,2,Email Opened,Other,4,2,3,Yes
Landing Page Submission,Direct Traffic,0,1,305,1,Others,Unemployed,3,2,3,No
Landing Page Submission,Google,1,2,1428,1,Others,Unemployed,4,2,3,No
Landing Page Submission,Google,1,2,1640,2,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Organic Search,1,8,1351,8,Email Opened,Unemployed,4,2,2,Yes
Landing Page Submission,Direct Traffic,1,8,1343,2.67,Page Visited on Website,Unemployed,3,2,3,Yes
API,Organic Search,1,11,1538,11,Email Opened,Unemployed,4,3,2,No
Landing Page Submission,Organic Search,0,5,170,5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,0,1,481,1,Others,Unemployed,3,3,3,No
API,Organic Search,1,6,1012,6,Email Opened,Unemployed,4,2,2,No
API,Others,0,6,973,6,Others,Unemployed,4,2,2,No
Landing Page Submission,Google,1,6,1688,3,Page Visited on Website,Unemployed,3,2,3,No
API,Organic Search,0,3,98,3,Page Visited on Website,Unemployed,1,2,2,No
Landing Page Submission,Google,0,1,233,1,Others,Unemployed,3,2,3,No
API,Google,0,4,377,1.33,Page Visited on Website,Unemployed,1,2,2,No
Landing Page Submission,Google,1,1,1013,1,Others,Unemployed,2,2,3,No
Landing Page Submission,Google,0,4,771,4,Others,Unemployed,3,2,3,No
API,Google,1,6,1137,1.5,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Google,1,3,1068,3,Others,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,1,4,1000,2,Email Opened,Unemployed,2,1,3,Yes
Landing Page Submission,Google,1,6,1315,6,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,0,5,182,5,Email Opened,Other,3,2,3,No
API,Google,1,3,78,3,Others,Unemployed,5,3,3,No
Landing Page Submission,Direct Traffic,1,7,1174,3.5,Email Opened,Unemployed,4,2,3,Yes
API,Google,0,3,88,1.5,Email Opened,Unemployed,3,2,2,No
API,Others,0,4,223,2,Page Visited on Website,Unemployed,2,2,2,No
Landing Page Submission,Organic Search,1,4,16,2,Page Visited on Website,Unemployed,4,2,3,Yes
API,Others,1,3,98,3,Email Opened,Unemployed,5,2,2,No
Landing Page Submission,Google,0,4,1622,4,Others,Unemployed,4,1,3,No
Landing Page Submission,Google,1,5,563,5,Email Opened,Working Professional,2,2,3,No
API,Google,0,2,310,2,Others,Unemployed,3,2,2,No
Landing Page Submission,Google,1,4,25,4,Email Opened,Unemployed,5,2,3,No
API,Direct Traffic,0,3,342,3,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,7,38,7,Others,Unemployed,3,2,3,Yes
API,Google,0,5,199,5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,6,275,3,Email Opened,Unemployed,3,1,3,Yes
Landing Page Submission,Google,0,4,287,2,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,0,2,547,2,Email Opened,Unemployed,5,2,3,Yes
API,Google,0,6,1225,6,Page Visited on Website,Unemployed,1,1,2,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Google,0,5,160,5,Email Opened,Unemployed,3,3,3,No
Landing Page Submission,Organic Search,0,6,394,2,Others,Unemployed,4,2,2,Yes
API,Organic Search,0,2,12,2,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Others,1,13,436,13,Others,Unemployed,2,2,2,No
API,Others,1,8,903,8,Page Visited on Website,Unemployed,5,3,2,No
Landing Page Submission,Organic Search,0,17,409,8.5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Others,0,11,685,5.5,Email Opened,Unemployed,3,1,2,Yes
API,Google,0,4,213,4,Others,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Organic Search,1,7,1468,3.5,Page Visited on Website,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,1,4,1435,4,Email Opened,Working Professional,4,1,3,Yes
Landing Page Submission,Google,1,1,157,1,Others,Unemployed,4,2,2,No
API,Google,1,3,885,1.5,Others,Unemployed,5,2,3,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,2,2,2,No
API,Olark Chat,0,0,0,0,Others,Unemployed,2,1,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,1,1710,1,Others,Unemployed,1,3,3,Yes
Landing Page Submission,Direct Traffic,0,4,219,4,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Others,0,3,111,3,Others,Unemployed,3,2,2,Yes
API,Organic Search,0,6,224,6,Page Visited on Website,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,2,1071,2,Email Opened,Unemployed,3,1,3,Yes
Landing Page Submission,Google,1,6,595,3,Email Opened,Working Professional,2,2,3,No
API,Others,0,4,520,4,Email Opened,Unemployed,3,1,2,No
API,Google,0,2,393,2,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,Others,Working Professional,4,2,2,No
Landing Page Submission,Google,1,3,1136,3,Page Visited on Website,Unemployed,4,3,2,No
API,Others,0,3,335,3,Email Opened,Unemployed,3,2,2,No
API,Others,0,4,75,4,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,2,1085,2,Others,Unemployed,3,2,2,Yes
API,Organic Search,0,3,214,3,Page Visited on Website,Unemployed,3,2,2,No
API,Olark Chat,1,6,1158,1.5,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,0,3,536,3,Others,Unemployed,3,1,3,Yes
Landing Page Submission,Direct Traffic,0,4,161,2,Others,Unemployed,3,1,3,No
Landing Page Submission,Google,0,2,511,2,Others,Unemployed,3,1,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
API,Google,1,5,1110,5,Olark Chat Conversation,Working Professional,4,3,2,No
Landing Page Submission,Direct Traffic,1,5,1563,5,Email Opened,Unemployed,5,2,3,Yes
API,Others,0,7,1633,3.5,Others,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,2,638,2,Page Visited on Website,Unemployed,3,2,2,Yes
API,Google,1,5,1196,5,Page Visited on Website,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,6,1485,6,Email Opened,Unemployed,3,2,2,Yes
API,Google,1,3,165,3,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,1,6,895,6,Email Opened,Unemployed,4,2,3,Yes
Landing Page Submission,Google,1,4,1190,4,Email Opened,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,Others,Working Professional,5,2,3,No
API,Direct Traffic,0,5,1566,5,Others,Unemployed,3,1,2,No
API,Google,1,5,727,5,Email Opened,Unemployed,5,2,2,No
Landing Page Submission,Google,0,8,652,4,Others,Unemployed,3,2,2,No
API,Google,0,2,767,2,Email Opened,Unemployed,1,2,2,No
API,Others,0,10,275,3.33,Page Visited on Website,Unemployed,3,2,2,No
API,Organic Search,0,3,273,3,Others,Unemployed,3,2,2,No
API,Organic Search,1,3,1207,1.5,Olark Chat Conversation,Unemployed,3,3,2,No
Landing Page Submission,Google,0,4,1638,4,Email Opened,Unemployed,3,1,3,Yes
Landing Page Submission,Direct Traffic,0,1,127,1,Others,Unemployed,3,3,3,Yes
Landing Page Submission,Organic Search,0,5,100,5,Page Visited on Website,Unemployed,3,2,3,Yes
API,Google,1,2,160,1,Olark Chat Conversation,Unemployed,3,3,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Other,5,2,3,No
API,Google,0,1,263,1,Others,Unemployed,3,2,2,No
API,Google,0,2,1218,2,Olark Chat Conversation,Unemployed,3,1,2,No
Landing Page Submission,Google,1,5,1091,5,Others,Unemployed,5,2,3,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,2,No
API,Google,0,1,1759,1,Olark Chat Conversation,Unemployed,3,3,2,No
Landing Page Submission,Google,0,5,386,5,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,1,5,1603,5,Email Opened,Unemployed,5,2,3,No
API,Google,0,2,73,2,Others,Unemployed,3,1,2,No
API,Google,0,2,77,2,Others,Unemployed,3,2,2,No
